,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,температура_воздуха_на_улице,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,отопление,среднемесячная_температура_на_улице,количество_рекламаций,температура_удовлетворительная_%,количество_рекламаций_кат,возраст_кат
0,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.46,21.9,24.1,55.0,0.05,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
1,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,22.3,24.1,58.5,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
2,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Женский,-1.0,-1,Теплее,1,Без изменений,,0.39,23.6,24.1,58.3,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
3,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Женский,1.0,1,Без изменений,-1,Больше,,0.52,24.3,24.1,59.5,0.09,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
4,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Женский,-2.0,-1,Теплее,-1,Меньше,,0.71,22.5,24.1,68.4,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
5,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.59,22.9,24.1,65.6,0.04,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
6,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.82,23.4,24.1,57.1,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
7,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.38,22.5,24.1,49.3,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
8,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.41,22.5,24.1,49.4,0.08,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст
9,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.56,21.1,24.1,53.6,0.06,165.1,65.0,0,0,1,-1,0,22.0,0,56.18,мало,молодой возраст
10,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Женский,1.0,-1,Холоднее,-1,Больше,,0.55,24.7,24.1,48.9,0.06,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
11,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Женский,1.6,-1,Холоднее,1,Больше,,0.37,24.0,24.1,60.5,0.11,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст
12,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Женский,1.0,1,Холоднее,-1,Больше,,0.52,24.1,24.1,53.5,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
