год;время_года;климат;страна;город;способ_охлаждения;режим_при_смешанном_типе_охлаждения;способ_обогрева;оценка_комфорта;пол;рост;вес;возраст;возраст_кат;утепление;ощущение_температуры;ощущение_температуры_(bool);предпочтительное_изменение_температуры;ощущение_движения_воздуха_(bool);предпочтительное_изменение_движения_воздуха;пресказанная_температура_помещения;температура_воздуха_в_помещении;температура_воздуха_на_улице;среднемесячная_температура_на_улице;скорость_воздуха;rh;rh_кат;занавески;вентилятор;окно;двери;отопление;количество_рекламаций;количество_рекламаций_кат;температура_удовлетворительная_%
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.46;0.0;1;Без изменений;1;Без изменений;22.887;21.9;24.1;22.0;0.05;55.0;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.499;22.3;24.1;22.0;0.08;58.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.39;-1.0;-1;Теплее;1;Без изменений;23.826;23.6;24.1;22.0;0.08;58.3;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.52;1.0;1;Без изменений;-1;Больше;23.443;24.3;24.1;22.0;0.09;59.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.71;-2.0;-1;Теплее;-1;Меньше;22.141;22.5;24.1;22.0;0.1;68.4;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.59;0.0;1;Без изменений;1;Без изменений;23.126;22.9;24.1;22.0;0.04;65.6;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.82;0.0;1;Без изменений;1;Без изменений;22.341;23.4;24.1;22.0;0.08;57.1;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.38;0.0;1;Без изменений;1;Без изменений;23.465;22.5;24.1;22.0;0.11;49.3;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.41;0.0;1;Без изменений;1;Без изменений;24.211;22.5;24.1;22.0;0.08;49.4;норма;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.56;0.0;1;Без изменений;1;Без изменений;23.294;21.1;24.1;22.0;0.06;53.6;норма;0;0;1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.55;1.0;-1;Холоднее;-1;Больше;23.876;24.7;24.1;22.0;0.06;48.9;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.37;1.6;-1;Холоднее;1;Больше;24.582;24.0;24.1;22.0;0.11;60.5;более_60;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.52;1.0;1;Холоднее;-1;Больше;23.282;24.1;24.1;22.0;0.08;53.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.44;0.0;1;Без изменений;1;Без изменений;22.978;21.1;24.1;22.0;0.04;53.6;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.44;0.0;1;Без изменений;1;Без изменений;24.307;23.7;24.1;22.0;0.11;53.1;норма;0;0;1;1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.39;-1.0;1;Без изменений;1;Без изменений;22.916;21.3;24.1;22.0;0.08;58.3;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.4;0.0;1;Без изменений;1;Без изменений;23.504;21.9;24.1;22.0;0.05;59.2;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;0.0;1;Без изменений;1;Без изменений;23.068;22.0;24.1;22.0;0.07;52.5;норма;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;23.912;24.2;24.1;22.0;0.07;47.5;норма;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;24.868;23.7;24.1;22.0;0.09;60.1;более_60;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;24.494;22.2;24.1;22.0;0.12;61.5;более_60;0;0;-1;1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.58;0.0;1;Без изменений;1;Без изменений;22.943;22.4;24.1;22.0;0.1;60.2;более_60;0;0;-1;-1;0;0;мало;78.0
