год;время_года;климат;страна;город;способ_охлаждения;режим_при_смешанном_типе_охлаждения;способ_обогрева;оценка_комфорта;пол;рост;вес;возраст;возраст_кат;утепление;ощущение_температуры;ощущение_температуры_(bool);предпочтительное_изменение_температуры;ощущение_движения_воздуха_(bool);предпочтительное_изменение_движения_воздуха;пресказанная_температура_помещения;температура_воздуха_в_помещении;температура_воздуха_на_улице;среднемесячная_температура_на_улице;скорость_воздуха;rh;rh_кат;занавески;вентилятор;окно;двери;отопление;количество_рекламаций;количество_рекламаций_кат;температура_удовлетворительная_%
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.46;0.0;1;Без изменений;1;Без изменений;22.873;21.9;24.1;22.0;0.05;55.0;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.482;22.3;24.1;22.0;0.08;58.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.39;-1.0;-1;Теплее;1;Без изменений;23.832;23.6;24.1;22.0;0.08;58.3;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.52;1.0;1;Без изменений;-1;Больше;23.376;24.3;24.1;22.0;0.09;59.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.71;-2.0;-1;Теплее;-1;Меньше;22.153;22.5;24.1;22.0;0.1;68.4;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.59;0.0;1;Без изменений;1;Без изменений;23.118;22.9;24.1;22.0;0.04;65.6;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.82;0.0;1;Без изменений;1;Без изменений;22.323;23.4;24.1;22.0;0.08;57.1;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.38;0.0;1;Без изменений;1;Без изменений;23.445;22.5;24.1;22.0;0.11;49.3;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.41;0.0;1;Без изменений;1;Без изменений;24.196;22.5;24.1;22.0;0.08;49.4;норма;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.56;0.0;1;Без изменений;1;Без изменений;23.304;21.1;24.1;22.0;0.06;53.6;норма;0;0;1;-1;0;0;мало;56.2
